NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
APR_HepG2_CellCycleArrest_1h_up,"Data from the assay component APR_HepG2_CellCycleArrest_1hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_CellCycleArrest_1h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""arrest"".",, , , ,,,Active,0.856399902870391,1.1813779950370817,0.004524277651656472,-2.3444507505896,0.0724916078061459,0.784405868195458,log2_fold_induction,-0.397940008672038,0.724916078061459,"[""Gain AC50 < lowest conc & loss AC50 < mean conc"",""Borderline active"",""AC50 less than lowest concentration tested"",""Gain AC50 < lowest conc & loss AC50 < mean conc"",""AC50 less than lowest concentration tested"",""Borderline active""]",-2.13315188903093,-2.47783956233792,-2.61640403756558,20,cell cycle
ATG_CRE_CIS_up,"Data from the assay component ATG_CRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_CRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene CREB3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic leucine zipper.",NP_006359.3,CREB3,cAMP responsive element binding protein 3,https://www.ncbi.nlm.nih.gov/gene/10488,,,Active,0.9523300584940646,1.3035948774645758,81.79968014573603,1.9127516054902296,0.14610828486013952,0.7936085305928949,log2_fold_induction,2,0.7305414243006976,"[""Only highest conc above baseline, active"",""Borderline active"",""Hit-call potentially confounded by overfitting""]",1.9774648009589784,1.9041051781210017,1.7934712910697057,20,dna binding
ATG_DR5_CIS_up,"Data from the assay component ATG_DR5_RAR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_DR5_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARA and RARB and RARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.","NP_000955.1|NP_001277145.1|NP_000957.1","RARA | RARB | RARG","retinoic acid receptor, alpha , retinoic acid receptor, beta , retinoic acid receptor, gamma","https://www.ncbi.nlm.nih.gov/gene/5914 , https://www.ncbi.nlm.nih.gov/gene/5915 , https://www.ncbi.nlm.nih.gov/gene/5916",,,Active,0.8455028391163835,1.4244791389587343,22.090321992452377,1.3442020462709874,0.11871045577184501,0.7045856992907233,log2_fold_induction,2,0.593552278859225,"[""Hit-call potentially confounded by overfitting"",""Borderline active""]",2.162430201426176,1.040720471526086,-0.7538804861337314,20,nuclear receptor
ATG_EGR_CIS_up,"Data from the assay component ATG_EGR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_EGR_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene EGR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is zinc finger.",NP_001955.1,EGR1,early growth response 1,https://www.ncbi.nlm.nih.gov/gene/1958,,,Active,0.9197589198077372,1.3183307324486881,40.111121749635714,1.603264807652669,0.13953386614895374,0.9191457475151553,log2_fold_induction,2,0.6976693307447688,"[""Only highest conc above baseline, active"",""Borderline active"",""Hit-call potentially confounded by overfitting""]",1.6654050547290242,1.5934931473207905,1.4839843631716567,20,dna binding
ATG_Ets_CIS_dn,ATG_Ets_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005229.1,ETS1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,https://www.ncbi.nlm.nih.gov/gene/2113,,,Active,0.49786219435815815,1.3741127718102546,81.79852317421569,1.9127454628023906,0.07246307647694375,0.4148851796840322,log2_fold_induction,2,0.3623153823847187,"[""Hit-call potentially confounded by overfitting"",""Borderline active"",""Less than 50% efficacy"",""Only highest conc above baseline, active""]",1.9661201461635347,1.8989138399474284,1.7934651486503879,20,dna binding
ATG_HNF6_CIS_dn,ATG_HNF6_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_004489.1,ONECUT1,one cut homeobox 1,https://www.ncbi.nlm.nih.gov/gene/3175,,,Active,0.503446661085597,1.4016657009156124,81.78760512863576,1.9126874915427885,0.07183548270557376,0.41953889151378293,log2_fold_induction,2,0.3591774135278688,"[""Hit-call potentially confounded by overfitting"",""Borderline active"",""Less than 50% efficacy""]",1.9622321879417655,1.8969484068494327,1.7933402353183763,20,dna binding
ATG_HSE_CIS_up,"Data from the assay component ATG_HSE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_HSE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene HSF1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is heat shock protein.",NP_005517.1,HSF1,heat shock transcription factor 1,https://www.ncbi.nlm.nih.gov/gene/3297,,,Active,1.6780674627388281,3.5331051835179417,81.21521994792168,1.9096374248076586,0.09499108436211133,1.3983895527071435,log2_fold_induction,2,0.47495542181055667,"[""Only highest conc above baseline, active""]",1.8574238567470556,1.8204907115282203,1.786203736437901,20,dna binding
ATG_MRE_CIS_up,"Data from the assay component ATG_MRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_MRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene MTF1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is zinc finger.",NP_005946.2,MTF1,metal-regulatory transcription factor 1,https://www.ncbi.nlm.nih.gov/gene/4520,,,Active,1.0016965654167798,1.6655191387531474,81.79131477684304,1.912707189432314,0.12028640705584168,0.8347514857671499,log2_fold_induction,2,0.6014320352792084,"[""Hit-call potentially confounded by overfitting"",""Only highest conc above baseline, active"",""Borderline active""]",1.934812120773628,1.8815309388705836,1.7934268757518521,20,dna binding
ATG_NFI_CIS_dn,ATG_NFI_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_001128145.1,NFIA,nuclear factor I/A,https://www.ncbi.nlm.nih.gov/gene/4774,,,Active,0.5262876162360166,1.24925963615362,6.066382378406008,0.7829297814441285,0.08425592262892893,0.4385730137396346,log2_fold_induction,1,0.4212796131446447,"[""Only one conc above baseline, active"",""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting"",""Borderline active""]",0.8605026110524914,0.7785240323882894,0.66024223415356,20,dna binding
ATG_NRF2_ARE_CIS_up,"Data from the assay component ATG_NRF2_ARE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_NRF2_ARE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NFE2L2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic leucine zipper.",NP_006155.2,NFE2L2,"nuclear factor, erythroid 2-like 2",https://www.ncbi.nlm.nih.gov/gene/4780,"[61,61]",[478],Active,1.489923629748945,1.9185497675988616,52.27077842937705,1.7182589677668858,0.15531769411576343,1.2416030253022772,log2_fold_induction,2,0.7765884705788172,"[""Hit-call potentially confounded by overfitting"",""Only highest conc above baseline, active""]",1.7332168892160686,1.579636645276763,1.3314154518499124,20,dna binding
ATG_Pax6_CIS_up,"Data from the assay component ATG_Pax6_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_Pax6_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PAX6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is paired box protein.",NP_000271.1,PAX6,paired box 6,https://www.ncbi.nlm.nih.gov/gene/5080,,,Active,1.1296335590587117,1.7797298654594604,38.55902233776596,1.5861260138538187,0.12694438419923712,1.1290799491649293,log2_fold_induction,2,0.6347219209961856,"[""Only highest conc above baseline, active""]",1.5996330851705767,1.5494218471995693,1.4668448837934307,20,dna binding
ATG_PPRE_CIS_up,"Data from the assay component ATG_PPRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PPRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARA and PPARD and PPARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.","NP_005027.2|NP_006229.1|NP_056953.2","PPARA | PPARD | PPARG","peroxisome proliferator-activated receptor alpha , peroxisome proliferator-activated receptor delta , peroxisome proliferator-activated receptor gamma","https://www.ncbi.nlm.nih.gov/gene/5465 , https://www.ncbi.nlm.nih.gov/gene/5467 , https://www.ncbi.nlm.nih.gov/gene/5468",,,Active,1.3054150161867235,1.457936950667563,50.12738102374411,1.7000750148734094,0.1790770191521653,1.0878458468505687,log2_fold_induction,2,0.8953850957608266,"[""Hit-call potentially confounded by overfitting"",""Only highest conc above baseline, active""]",1.8544136268679978,1.6294092582268884,1.2658800441308162,20,nuclear receptor
ATG_RORE_CIS_up,"Data from the assay component ATG_RORE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_RORE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RORA and RORB and RORC. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is orphan.","NP_599023.1|NP_008845.2|NP_005051.2","RORA | RORB | RORC","RAR-related orphan receptor A , RAR-related orphan receptor B , RAR-related orphan receptor C","https://www.ncbi.nlm.nih.gov/gene/6095 , https://www.ncbi.nlm.nih.gov/gene/6096 , https://www.ncbi.nlm.nih.gov/gene/6097",,,Active,0.9386032773642444,1.3708741322705185,81.77826672777613,1.9126379015406503,0.13693500450105905,0.782169464016804,log2_fold_induction,2,0.6846750225052953,"[""Only highest conc above baseline, active"",""Borderline active"",""Hit-call potentially confounded by overfitting""]",1.966510582884129,1.8990273052200584,1.7932999947465837,20,nuclear receptor
ATG_Sox_CIS_up,"Data from the assay component ATG_Sox_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_Sox_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene SOX1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is HMG box protein.",NP_005977.2,SOX1,SRY (sex determining region Y)-box 1,https://www.ncbi.nlm.nih.gov/gene/6656,,,Active,1.154546813137836,2.632077895652239,51.077090114064276,1.7082261473344804,0.08772892436389956,1.0042584324767212,log2_fold_induction,2,0.4386446218194978,"[""Only highest conc above baseline, active"",""Hit-call potentially confounded by overfitting""]",1.632976452903726,1.5208316632511831,1.370696020180623,20,dna binding
ATG_TCF_b_cat_CIS_dn,ATG_TCF_b_cat_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,"NP_003193.2|NP_001139746.1|NP_057353.1|NP_112573.1","TCF7 | TCF7L2 | LEF1 | TCF7L1","transcription factor 7 (T-cell specific, HMG-box) , transcription factor 7-like 2 (T-cell specific, HMG-box) , lymphoid enhancer-binding factor 1 , transcription factor 7-like 1 (T-cell specific, HMG-box)","https://www.ncbi.nlm.nih.gov/gene/6932 , https://www.ncbi.nlm.nih.gov/gene/6934 , https://www.ncbi.nlm.nih.gov/gene/51176 , https://www.ncbi.nlm.nih.gov/gene/83439",,,Active,0.9963618415468132,1.442339015068584,54.53580370232796,1.7366817177817082,0.13815917494257557,0.8303015346405729,log2_fold_induction,2,0.6907958747128778,"[""Borderline active"",""Hit-call potentially confounded by overfitting""]",1.8821000213391121,1.6762000806385287,1.344962925710337,20,dna binding
